"","gender","age","region","subjectID","experimentName","item","verbtype","complementizer","prosody","naturalness","veridicality","comment"
"217","M","30s","MA",5.23e+14,"veridicality-pilot2","painter","alanae","go","MV",5,5,""
"218","M","30s","MA",5.23e+14,"veridicality-pilot2","come","ggameok","go","MV",2,1,""
"219","M","30s","MA",5.23e+14,"veridicality-pilot2","come","gieok","jul2","MV",3,4,""
"220","M","30s","MA",5.23e+14,"veridicality-pilot2","marry","moreu","jul2","MV",6,6,""
"221","M","30s","MA",5.23e+14,"veridicality-pilot2","come","gieok","go","MV",4,3,""
"222","M","30s","MA",5.23e+14,"veridicality-pilot2","marry","gieok","go","EV",6,6,""
"223","M","30s","MA",5.23e+14,"veridicality-pilot2","painter","mit","go","MV",4,4,""
"224","M","30s","MA",5.23e+14,"veridicality-pilot2","marry","al","go","MV",3,3,""
"225","M","30s","MA",5.23e+14,"veridicality-pilot2","marry","ggameok","go","EV",1,2,""
"226","M","30s","MA",5.23e+14,"veridicality-pilot2","marry","moreu","go","MV",1,2,""
"227","M","30s","MA",5.23e+14,"veridicality-pilot2","come","mit","go","ES",5,6,""
"228","M","30s","MA",5.23e+14,"veridicality-pilot2","marry","gieok","jul2","ES",1,3,""
"229","M","30s","MA",5.23e+14,"veridicality-pilot2","marry","al","jul2","MV",3,5,""
"230","M","30s","MA",5.23e+14,"veridicality-pilot2","marry","ggameok","jul2","ES",2,2,""
"231","M","30s","MA",5.23e+14,"veridicality-pilot2","painter","mit","jul2","MV",1,4,""
"232","M","30s","MA",5.23e+14,"veridicality-pilot2","painter","moreu","go","EV",1,1,""
"233","M","30s","MA",5.23e+14,"veridicality-pilot2","come","ggameok","jul2","MV",4,1,""
"234","M","30s","MA",5.23e+14,"veridicality-pilot2","painter","al","go","EV",4,5,""
"235","M","30s","MA",5.23e+14,"veridicality-pilot2","painter","alanae","jul2","MV",5,4,""
"236","M","30s","MA",5.23e+14,"veridicality-pilot2","come","alanae","go","ES",3,4,""
"237","F","20s","MA",4.84e+14,"veridicality-pilot2","painter","mit","go","EV",6,6,""
"238","F","20s","MA",4.84e+14,"veridicality-pilot2","painter","ggameok","go","MV",6,1,""
"239","F","20s","MA",4.84e+14,"veridicality-pilot2","painter","alanae","go","EV",6,6,""
"240","F","20s","MA",4.84e+14,"veridicality-pilot2","marry","al","go","ES",5,2,""
"241","F","20s","MA",4.84e+14,"veridicality-pilot2","marry","alanae","go","MV",6,4,""
"242","F","20s","MA",4.84e+14,"veridicality-pilot2","marry","moreu","go","ES",6,6,""
"243","F","20s","MA",4.84e+14,"veridicality-pilot2","painter","mit","jul2","ES",3,2,""
"244","F","20s","MA",4.84e+14,"veridicality-pilot2","painter","gieok","jul2","MV",6,5,""
"245","F","20s","MA",4.84e+14,"veridicality-pilot2","marry","al","jul2","EV",6,1,""
"246","F","20s","MA",4.84e+14,"veridicality-pilot2","marry","moreu","jul2","EV",6,7,""
